	2459
好好笑	2663
右手	3548
塔罗牌	6710
比较烦	1610
鸡婆	5188
清蒸	5055
济南	4935
仔细听	301
请客吃饭	5546
为人	3461
外婆	4253
正巧	2918
亲戚	4530
给我讲个故事	5760
公平交易	1315
负	2824
疤	3566
苗条	3034
赢球	5171
事先	598
reary	6734
记	2515
臀围	4314
下流无耻	2747
辛劳	3857
强壮	3380
哑巴	1551
唯有	2015
赶紧	478
遍	286
闹剧	633
衣带	2315
腹泻	1216
纸巾	1160
小松鼠	4624
小芳	3228
无处	1809
酷	374
我太渴	5640
传染给	5237
召唤小雅	6796
收到	2856
两	1283
操场	6712
座	4446
自以为是	2642
当成	6598
烤熟	1976
天上	4450
离谱	255
丽丽	3319
案	2962
发神经	5946
秘密	760
日常	5067
混乱	2137
无业游民	2243
打卡	2230
萌好	3873
真正的爱情	5932
张老师	4460
hello	6844
确认	5452
鸟叫	5303
多点	3413
上班时间	3184
英文翻译	3308
勇气	2648
情归何处	3776
学校	4226
goodnight	6806
吃糖	5998
作家	2549
花开花落	3732
说坏话	6649
天	337
喜好	4603
剪刀	5704
说出你的名字	6192
开始	203
非常高兴	2865
冰川	508
微博	4510
闷闷不乐	3406
思想	2717
破坏	6282
打发	2057
冷笑话	195
令人	1792
没意思	223
盘算	5517
平庸	2791
元素	5989
唐七	6553
后果	2120
极其	2777
机器	2619
过	177
瞎扯	872
翻译	2729
复旦大学	6548
答	2902
自尊心	2685
冥想	5513
古城	6320
噢	2894
最火	4982
吃素	2378
弟弟	4216
涨死	1435
代表	2914
逼急	6544
取得	4077
拿主意	4016
无尽	1301
平常	3513
酱油	6868
下班后	4494
亲	411
早点	698
烤火	3409
谢谢	401
帮助	1657
降	1184
后来	4874
之情	5024
水平	3889
药	988
看小琳	5972
扯走	574
辗转反侧	1289
咸是	6718
上得	6039
想下	5357
智能	2457
些	210
兄长	4214
戴绿帽子	5553
北京	2264
愉快	877
好萌	2879
有喜	4187
主人	6309
夜班	5931
想买	1757
燃烧	3008
说说看	5945
回答我	809
邮件	4838
想些	5514
辆	6679
能说会道	4729
和	230
庙会	2089
多牛	2590
折	936
鸟儿	5111
外形	4769
可爱多	5905
你开心就好	4474
诬陷	1654
法律	6350
午饭	3483
饺子	6188
打击	2308
各种	1675
消停	2421
午餐	1224
偏	4864
上当	1318
边缘	1512
湘菜	5837
别人	864
火冒三丈	2029
因	3206
你好外星人	4780
倍感	3716
开导	830
出息	2556
减肥	1488
能治	1171
喂	3354
上床	3906
解释	2653
全错	2731
睡觉	553
最爱	4146
伴	3163
收入	2239
offer	3032
失望	1840
响	3167
量	4309
课本	1446
黄鹂	6329
请说	3876
大冒险	5699
靠	4860
呢	62
书法	3451
工作压力	2207
警察	1797
冷成	1771
干枯	6469
技能	3347
带走	2817
忌口	5052
看	44
性格开朗	3839
徐	6795
体温计	6377
麻烦	724
迟到	116
亲昵	3282
小马哥	4108
大吃一惊	367
搭	4991
搬到	2934
爹	1332
干杯	6051
左右	716
厂里	4008
有名	334
肯定	1080
牙根	1070
体重	2289
男生	66
泡妞	5850
春运	1022
饿	30
这位	3938
反映	2507
钢管舞	6195
函数	5734
开展	5091
捣乱	460
美眉	6158
特别是	1410
三围	4305
这出	6362
尸	2046
外出	5430
一打	5255
这会	4818
乏味	2133
蝙蝠侠	5944
有害	3673
平台	4872
意大利	6081
法克	6528
出演	4785
功力	4560
记得	314
认真做事	4471
一把	345
德语	6405
我的星座	4431
️	695
胜任	3797
生日礼物	2479
羊肉	5358
战胜	6461
鸡冻	3404
前线	713
睡一觉	539
喊人	4283
外公	4254
操守	4192
°	5816
一抱	6393
做出	2643
参与	772
同时	4944
减轻	1279
花有	6019
总是	787
心里有数	753
父母	794
要犯	1163
困倦	3194
更	1260
狼	6733
真实	4040
love	5116
稀有	4353
假多	3236
那刻	2925
划	2906
试用	5339
属于	3284
讲完	836
退烧药	1152
搞	959
顺眼	5115
玩微博	4521
舞姿	4556
殆尽	502
烧过	4809
跪下	5870
辣椒	5758
将薪	3237
旅游	2088
正在	459
粉丝	4245
全世界	2042
夏天	1814
城里人	6006
饮料	4154
接替	5032
冷水	3407
脚断	939
不如意	2284
吱个	5502
事实	2520
事宜	3077
沉默	2134
好记	3489
指	4004
萌咯	6558
差评	2781
完	839
眯着	440
晚期	3741
假如	3737
好几回	1228
撞见	1824
毒药	5296
休息	516
这他	2414
夜深人静	6381
这份	5033
我免	671
这件	140
垃圾车	2814
好说	2131
这事	246
没脑子	2757
这些	211
不简单	4191
起色	3365
风儿	6202
你好小姐	6578
奋斗目标	6444
嗨	1576
雪	4621
华为	5952
本人	3957
做好	680
这人	384
评论	4096
萨克斯	5844
朗读者	5681
本领	6857
抠门	3175
分钟	155
那儿	6033
名称	4699
好蠢	2763
合适	3153
争着	2064
继续	650
喝醉	4660
互相理解	789
减越	2326
色盲	5084
上去	4477
写纸	4307
大道理	6477
常	4619
值	4359
那么	372
无可	2159
发	612
艳羡	6212
清蒸鱼	6698
屋子里	2050
上司	2225
哪支	6633
告别	597
上古	5601
平凡	2789
脖子	1669
醒	2238
了了	262
小说	5822
动车	2339
信心	2305
肠胃炎	957
被叫	1480
哔哩哔哩	5646
沮丧	1592
做些什么	2423
计划	6618
家	510
不太够	4262
填充	4913
喝酒	2177
飞翔	4455
上午	5371
肥	383
上升	2322
良打	1875
打工	5431
一切顺利	618
困到	3230
闪	6825
变来	4741
跳舞吧	4570
用美	4643
陪聊	834
安慰	826
打电话	795
霓虹	5560
无助	1721
夏季	4972
国标舞	4567
倒	2803
单身	3138
卸载	5877
沉默不语	5666
无力	1141
撒谎	1377
出汗	1990
碎觉	6808
强健	3604
拜拜	599
白百何	5878
山歌	5103
冷清	2047
习近平	5659
运动会	2073
直播	5168
芭蕾舞	4574
自恋	2609
欺骗我	1344
都	162
试着	4173
增进	1005
真多	2092
世界	2224
男票	4538
喔	3870
题材	5134
最红	5199
学期	2166
真大	1960
男神	6451
爱的游戏	5161
范围	3817
搞错	2687
脚有	6422
塞塞	1876
拆	6644
事太	1997
最终	573
成功者	6250
拜托	3896
顿饭	79
青花瓷	5840
真好	311
我北	5824
吃梨有	6288
知不道	179
长	1082
国足	6325
大人	6177
身材	3035
疑虑	496
碰到	3152
微博用	4514
催眠	5765
同意	762
猪	2766
脾气	1542
恰好	5769
景点	2066
受委屈	1854
大事	5507
一次迟到	5766
再伤	1649
著名	5361
科学	5090
周期表	5990
从事	3950
愈长	1807
啦	238
烦透了	1629
自杀	5294
勿	670
再会	605
疲惫不堪	3850
需要	161
起来	822
笛子	6368
至极	2486
大长腿	6564
宽敞	6713
素描	5740
有人在吗	6133
打完	3212
公交车	122
苦闷	1602
同声	5848
该会	6746
能来	1590
风吹	1738
考题	2919
媳妇	3085
发表意见	4052
节日	5543
生命	3726
从不	2111
季节	4606
一曲	4547
不中用	2472
她	229
盼	5447
爵士舞	4562
大便	1181
一有	1690
经济学	6030
三十九	1155
3000	5635
据说	6841
我太惨	1830
小雨	2692
别问	181
一本	2937
肺活量	3605
夸	5692
再也	244
进修	3916
稳定	4111
破玩意儿	2794
小谢	5408
受骗	1338
好转	5244
升职	2948
生小孩	4189
呦	4496
再不	3118
心理咨询	1861
剪	3506
我喜	5120
我请你	4929
停滞不前	2310
理解	751
空	1681
聆听	3079
干涩	900
今晚	3110
朴有	5731
彩票	2333
恶灵	720
一枚	5262
看得出	6375
大众	4637
成龙	6630
烦躁	1540
慰问	1115
碧玉	3640
请问	3259
外向	6803
容易	1145
年后	5744
即使	2616
暗淡	2101
公众	6409
激动	3843
干活	2500
好喝	6174
真彪	2769
九个	6691
够慢	2498
呆子	2775
掉	1436
小车	5009
你在笑	3393
取名	4066
观沧海	6036
品尝	5370
昨晚	509
真让人	204
爆炸	956
坏处	6404
垃圾袋	2809
选择	636
戏剧	4789
今日	6708
黑色	4344
随便	3278
球队	5170
套餐	4260
孕育	5714
臂力	3607
闹心	6506
男同事	5034
吸烟	2349
叉叉圈圈	6258
团聚	3389
误会	6125
全盘托出	3199
爱豆	4249
真小	2561
坐车	1023
传说	4235
车是	4995
招数	6466
咳嗽	984
入神	5483
乏力	3223
通关	2986
考验	6004
蠢猪	2760
养鱼	5845
痒	888
明白	201
嘀嗒	1869
招收	3333
文爱	6075
外地	6261
车晃	5581
暂时性	4332
阴沉沉	1878
纯粹	1297
No	761
受风	1095
没亮	1395
萌到	2885
没人	1113
头疼	990
没了	735
英雄联盟	6089
理论	5219
hey	4302
绿油油	4607
反感	4851
外国	3306
脚掌	908
头痛	1002
多一点	5030
醒来	6278
买衣服	2379
爬不起来	1388
各种各样	6020
真差	2538
绕口令	5866
真巧	5414
披星戴月	3245
无聊死了	6850
差距	2154
av	6028
变成	3003
科幻片	6217
消失	484
不知不觉	1631
酿成	4738
喜剧	4583
三八	5190
钥匙	108
刷牙	3898
打声	6256
一族	5343
精彩	3426
傻逼	5928
少不冷	3408
半途而废	640
征服了	319
符合	626
命	1949
物理	6072
退	575
养花	6701
再也不是	2999
加快	2513
既然	1116
普通话	5596
寄托	1306
总结	4844
引不起	2571
遗憾	2163
聊嘛别	6200
妈妈的生日	3471
总统	6146
了吧	1165
没写	4922
败北	6104
优劣势	3447
弱弱	3352
篇文章	3009
麻木	2712
发型	3600
种类	4956
最敢	5150
查	4347
没有我	2568
干点	3430
没减	2298
实在	234
没有时间	736
擅长	862
丰满	4393
劳累	3854
牵牛花	6007
球	2283
早早	3054
降临	4429
五	1892
早日	610
牺牲	3724
看到	470
最新	5206
改	4295
英语老师	5919
仇人见面	5409
雄安	6379
小星星	5726
makelove	6411
三世	6555
哪一部	5145
无曼巴	6338
看待	3459
我太累	6187
快快	721
宣泄	2176
获得	3918
看得	3533
辛苦	541
武汉	6279
周到	353
作业	23
喝牛奶	1895
原谅	152
当真	4461
味精	6869
影院	5147
作为	3619
难得	2235
操纵者	6546
电视节目	5141
耶	375
分辨	6520
厕所	971
究竟	3248
的确	2118
必要	2608
通了	2714
地飞	4451
稀罕	4169
属	6012
难忘	1494
加床	3416
道菜	4018
充满	2482
完蛋	2939
一路顺风	617
前言不搭后语	6376
难忍	2347
乌云	1880
街角	6131
算了	770
非人工	4048
领	2242
籍贯	3757
不看	4863
这回	2695
美国朋友	3318
打喷嚏	1221
马路	3728
牛郎	5435
早操	3827
dota2	6235
滚离	6525
重阳节	5388
再加	4821
车祸	4832
鱼刺	5973
跳舞会	3860
大卫	3310
三缺一	4691
大单	3027
依山	6724
从包	5333
称	4384
比较	1239
变美	3016
路上	1124
处理	1102
最有	3647
而	2025
舌头	1194
开会	1890
考虑	1407
用来	3344
围巾	1758
飞机	2433
多好	4800
洪	3322
预产期	4188
只有	1719
刚说	276
不能说	3929
雅雅	6813
醉心于	4612
公司地址	4878
周公	3909
卖	3864
前胸	1696
酸菜鱼	5366
日	4419
没发	1935
热巴	6304
出生	3753
认识一下	3892
和平相处	4779
培训班	2273
端午节	5273
高通	5451
逗	1567
撤	555
逼真	3982
垮	1529
IQ	2828
darling	5397
男性	5015
牙齿痛	1077
阴阳师	5285
联系我	4502
病情	5243
闷热	1545
SHE	5923
心灵鸡汤	5777
欢迎光临	5320
医生	975
帅哥	5254
锻炼身体	5072
自私	248
制造	2972
胃炎	1245
陌生人	5534
比起	4721
天真无邪	4694
天天	756
早晨	1249
没劲	1106
刘强东	6339
额	4650
比赛	621
杂物	2807
疯	1513
粤菜	6109
崴	935
金山	9
过小明	4457
天好	1754
放松	1582
变细	6107
好酸	1670
万万	366
爱爱	6274
安放	1810
能力差	2706
叫	68
嗯	312
扶	1242
压力	1531
演唱会	2441
写有	5940
一言难尽	6662
很	94
没到	1687
请讲	3875
催眠曲	5612
吃香喝辣	2410
斤	3091
补充	522
想家	25
背叛	6314
进入	2536
窗边	1662
姓李	6346
睁开眼睛	3899
烂	1593
过山车	1015
习惯	166
一种	3280
棒	360
带有	5105
也许	3793
exo	5841
测量	4311
郁闷	1209
小学生	3887
帐户	6142
节奏感	4633
教练	2995
这单	2947
新房子	2991
元气	6242
弱智	2754
申请	530
犯	913
坐飞机	2338
治	1001
多想	1817
汪峰	4628
高雅	5922
喝过	4928
弹琴	6872
加宽	6739
最慢	2506
参加	3066
演员	4698
煮	5059
追	2000
这双	3535
好难	6029
戏	4790
诅咒	1367
趣事	5184
回去	515
不对	101
晓得	171
大驾	5697
这台	2618
一组	6065
出现	473
及格	2143
退出程序	628
半边	1067
露出	2849
习大大	5821
呆头鹅	2761
可否	2461
易消化	5351
哥们	1795
哈尔滨	4080
球赛	5178
状况	3431
呼吸声	2045
出牌	1479
黑龙江	4743
千万不要	2691
在乎	2139
辛勤工作	6180
大型	5104
品	3826
爱车	5992
家庭作业	6111
累要	6059
德阳	4005
塞	1334
脚趾甲	3586
有意思	329
指头	3551
总算	5438
卑鄙无耻	2739
金婚	2943
在世	4268
可	208
蚊虫	6391
吸毒	3697
殿堂	3083
小黄人	5722
冒烟	1907
妈	2415
校花	1925
大圣	6670
水下	4828
那事	4194
做我的女朋友	5235
一群	2076
那些	3796
口腔	1198
元	1353
实力	5129
第三次	3064
胃癌	3740
安排	306
只想	537
顺口溜	5906
那件	1644
冷点	3411
飞	4456
大脑	2701
发胖	5618
好孤单	1713
剩下	559
解题	4013
在于	2104
要求	2151
拼音	5605
撑死	1413
房间	622
萌	2881
鼻塞	1096
请安	5859
女主	6497
我们	546
看好	4711
听话	3840
让	136
听	176
乞讨	6048
一年四季	4620
下决心	3127
胃疼	1234
生产	71
小雅雅	6807
摆北	870
蛋	5899
胃病	1236
胃痛	1232
大哥	5403
大哭	6044
散散心	1599
OK	734
这儿	3923
承担	2121
烦得	5781
您好	3355
脚痛	926
点好	4847
我书	1449
困乏	6286
怎样	15
我乐	2870
消磨	4690
驾到	6479
汇报	1968
无休	526
大名	3251
天天向上	6759
昏昏沉沉	3193
加大	4911
烦闷	1496
求和	802
游手好闲	2221
压在	1837
祖籍	3756
这写	4924
观看	5146
Hello	5464
毫无	1972
外伤	3581
交谈	5535
口舌	3204
当	2375
顺	6464
空气	1471
搅拌	4027
点读机	5222
慢半拍	2702
当然	3835
翻新	6646
红色	3519
想开	634
台风	5418
啥样	6537
场合	2063
事儿	5071
大喜	3143
星期天	3180
用手	3560
头	991
累说	6560
着	139
发色	4333
组合	309
想当	2548
用户	4287
久违	5315
否认	3684
做	32
哭泣	2125
书	847
失眠	1284
飞扬	2867
对不住	146
要活	3735
当前	4334
犒劳	5368
想得	5508
睡饱	1574
黄瓜	5871
醉心	5013
麻将馆	4689
货	726
小雅	69
儿歌	6130
球迷	5172
细	3033
歌	3244
变	2014
和好	6301
有时候	2890
想念	4272
搭讪	6494
轻	266
变穷	2367
受过	3580
求婚	3070
肥肉	2296
云南	4677
嘴	3562
消亡	489
希望	184
一盏灯	1724
要戒	2407
跑步	1891
记住	200
地里	1959
小白兔	5609
早	1392
微信	812
各来	6365
吵到	667
肥胖	3615
任职	4876
超重	4383
坚持	2303
搓	3679
满意	775
负面新闻	503
逛	558
多汗	1956
队	4627
解出来	2959
乐乐	1118
喝茶	1587
台面	2780
年代	4630
别老	2106
保暖	1759
请	157
乏	685
蝎座	4438
网剧	4598
费劲	2473
黄色网站	6769
听不清	281
great	408
令	1794
直	1263
破车	2256
倒杯水	4927
拼	6489
大家	227
儿时	3267
siri	3934
砖	3247
站不住	1040
及时	2335
相对来说	6105
装逼	6361
思索	5515
百家姓	5908
自爆	6784
宋慧乔	6624
丑八怪	5614
原著	6241
姚明	5181
樱桃小嘴	3626
baby	5700
春夏秋冬	4969
康复	3532
鼓气	6098
脚疼	906
演奏	5108
动手做	3542
打人	1565
骂	1787
哥哥	4201
胃	1020
害臊	2681
智齿	1083
自助餐	1416
貌似	6641
瘦子	3601
坏事	1822
忘性	2542
学生	2627
觉	3392
劲	6504
人	456
眼圈	3845
舅舅	3375
住	1659
大学	2931
遇见	2109
年收入	3482
众卿家	733
病毒	4884
想出	5518
优势	3454
麻溜	467
选用	4745
客户	3025
并且	1240
光棍节	3156
根据	4068
马虎	4468
自然	2237
反应迟钝	2697
思密达	6536
择偶	4979
牙痛	1196
兴奋	2840
结婚年龄	4236
王健林	5348
力	2471
白里透红	3368
少吃肉	3089
小魏	5487
天然呆	2753
心情舒畅	2871
想到	316
俯卧撑	2431
到	209
着迷	4600
十点	3895
大声	280
呆会	435
痛不痛	5591
天偶	5732
节日快乐	6312
面	5439
摔	937
主动	797
安眠药	1303
牙疼	1055
母亲节	5382
小时候	3269
不是我老婆	4238
易	1162
唠唠叨叨	2641
认真对待	4465
红过	3687
套路	1330
脚白	3570
难吃	2005
咖啡店	6132
一点	188
假	532
极了	409
新进	4009
喋喋不休	3200
说谎	3680
所谓	2606
蓝瘦	6851
懒	3179
令其	715
游泳圈	2293
想象	1938
shui	4904
观点	5093
漫画	5590
粤语	6327
对不起	92
分	1031
爆料	5192
烫头发	3495
与	1834
摸摸	1775
体质	4257
亲人	3296
来头不小	331
杭州	4672
拒绝	773
欢迎	4604
耐看	3649
成语	6351
奇怪	1491
嫁	1924
为啥	2830
甜蜜	3142
征服	5742
东瀛	5558
奖金	2179
腾讯	4512
给	78
本命年	3946
大姨	4278
OMG	4856
大姐	4279
打扑克	5917
谋生	4879
晾	2027
千克	4387
了得	2250
天冷	1784
武术	5644
想去	437
推荐	88
大多	2502
孝顺	5268
婚礼	3065
紫色	4338
落泪	3847
包包	1364
叨扰	665
轻松	2864
开开心心	2841
比薪	3238
响声	4063
忘	2525
苦	536
呵	3396
版本	3804
无话可说	1841
各不相同	4945
治不好	3745
乔布斯	5982
恐惧	2095
店	5062
贵重物品	1370
真人	3956
讲人	3689
怕羞	3654
机会	1847
大床	3168
下定决心	3094
操你	2837
凉	1951
古代	51
扔	2804
马云该	6302
帅小伙	4218
口袋	2371
仰卧起坐	6067
品书	4714
事事	1902
一朵花	6473
要是	1128
闺蜜	6809
操作	3801
一百	1437
奔溃	1932
岀	611
果子	3693
公里	1893
有何	4845
二	5392
头昏	1028
真不	2419
遵守	3699
棉袄	1762
宁波	6374
沙漠	1916
枯燥	2132
回家	55
悲伤	1470
棉被	4362
跪安	731
股票	5831
快去	543
难分	3969
大师	6211
独处	6668
瞌睡	6680
头晕	1021
近日	6789
陪陪	1600
见个面	5460
伤悲	6501
退役	5854
恐怖	2102
手机号	6856
埋	5295
有伴	3159
保护	4204
想来	4925
一直	1166
事业	2306
孤零零	1718
南方	3781
这家	1326
打麻将	3702
看剧	4596
区别	2545
后脑勺	5958
一看	1053
cf	3710
高龄	3936
撑	949
投	2233
得	254
cs	5879
cp	6305
莫非	6204
要来	4563
蓝色	5080
快别	3170
说说	845
金刚	6732
几人份	4261
快到	4425
蛋炒饭	4807
吴	3227
有些	905
焦点	5189
明日	5293
有事	738
地铁	3182
保持	2311
挂科	2167
发表	4051
张	4247
有了	3052
泡	1180
广州	4670
脑子里	388
瘦得	6831
确	4464
伤感	1637
二货	5391
差不多	673
诬赖	1940
会时常	3713
心花怒放	6120
头有	1051
像头	2835
人类文明	4730
倒是	6091
吹风	3410
李彦宏	4135
粉嫩	3369
改进	4073
新浪微博	4513
小意思	2920
阴性	4351
有书	849
母语	3789
真低	2787
在公园	4497
余生	4531
腹肌	3602
死赖	2295
战地风云	6257
躁动	1808
元旦	5376
小鬼	6336
事会	3858
头条	5196
撩妹	2041
户口	3787
定义	6068
做事	1570
自由	776
谈谈	5504
型号	4996
这套	2887
疲劳	2607
好主意	6359
晚点	1647
做人	2226
天吃	5637
带钱	4490
潮汕话	5926
根本	568
化妆	4141
开阔眼界	5872
浮躁	2601
近来	4458
数学题	5887
点冷	3419
描述	3891
这天	1877
政府	6645
算术题	6450
满头大汗	972
疼	901
独家	5671
有益健康	6156
进展	6557
加入	4553
埋怨	2397
硬	5912
饭碗	2218
即将	3048
明明	3291
小声点	4059
毛衣	2966
神采飞扬	3372
做主	4523
倒霉	1821
邀请	4549
度蜜月	3087
春雨	4609
大山	1536
点儿	450
爱美	4761
武打	4707
登录	130
从小	2711
一瓶	1093
成行	4076
定亲	4534
从现在起	6355
瑜伽	6073
口语	5983
二十几	3944
我的工作	2185
难写	6345
寥寥数语	2024
怪	1493
地	4454
而且	1238
写字	4277
继母	4901
茂密	3516
喊	2699
比脸	2386
血型	4346
不是我	1939
南昌	4676
鹦鹉学舌	6413
店坑	1327
站	422
第几	6458
星期六	5269
快	396
小鸟	4449
傾诉	1835
睡醒	3169
难听	2833
楼上	1444
楼下	2082
找	83
往	572
泡面	2363
烧饼	5749
相处	6855
烧饭	4810
考试	1461
疑问	859
明月	6706
吱声	4053
发誓	3137
演得	4799
负面影响	3704
刘亦菲	4001
准确	2524
打呵欠	3188
厌恶	2744
孤零	1727
滚床单	5645
不礼貌	3281
正	2075
爱在心口难开	855
歌多	4959
节目	2395
要断	1264
起	1179
陕西人	6005
嘿嘿嘿	2912
腿	1671
降级	2181
挂	1138
开发智力	5156
设计	338
洞房花烛夜	2929
造	172
这条	1742
三维	6595
渴	1131
哎哟	2634
手脚	1666
这有	3434
品牌	4654
逗比	6812
你的朋友	3872
凡	5653
无私	5208
创业者	4107
丢掉	2217
输掉	6084
回来	2327
千年	6079
晚上	1281
宝起个	5800
首富	5709
哎呦	4859
队伍	638
厦门	4671
不长	3589
鬼故事	6160
正经	6707
大我	6150
别学我	5639
哎呀	236
沁园春	6509
挖掘机	6454
胀	954
真牛	358
神	4855
一字眉	3628
鸡皮疙瘩	2426
主意	6611
也	67
才艺	6508
随意	637
情话	5790
生硬	5763
不错	325
粤语版	5921
赶快	513
最后	4822
一分钟	2429
但愿人长久	5691
陷害	1314
点滴	1139
一分钱	2387
吃零食	1589
走走	2877
我也是	3783
很足	3360
男友	4539
射手座	4441
穿越	5137
邻居	4899
锤子	6715
更好的生活	3919
搅和	946
it	6604
晚	545
紧迫	737
贴心	348
迟	2334
爽朗	6534
看清	3537
毁灭	6299
通红	3677
老	1265
明天	542
中午饭	4813
手肥	3553
呆瓜	5389
晚会	4552
躺下	3224
吹	6170
走路	443
吸引	2577
歇	517
贵庚	3490
小宝贝	5393
哎	533
兄弟	1363
饥渴	5693
善良	391
总会	1595
扭	1257
谈谈心	814
靠近	481
虽然	2265
神功	6035
再	292
「	5253
天上飞	4452
抓耳挠腮	2911
靠谱	6401
伞	6876
恶心	1048
碧	5941
认识	8
下降	5942
演戏	4788
印象	4682
水	232
阴暗	1475
瘸	929
么	6
牡丹江	4742
好友	4518
眼泪	1852
真烂	2782
神神秘秘	5506
菜放多	1921
同住	4264
面试	2964
蠢得	2764
突然	1000
静一静	5526
像是	2847
赘肉	3611
下雪	1785
下雨	1782
拉肚子	952
太无聊	1554
条鱼	5054
辞	2240
出生地	3766
加	1090
冰箱	6731
香港	4678
动作片	4593
打打气	5968
不单是	3241
做爱	5578
演技	4801
该吃什么	1098
晃	1661
哇塞	5179
学习	651
选上	2963
认真学习	6137
扮演	4795
萌翻	2883
上下文	6001
电线杆	3005
那种	4195
花言巧语	1382
四川话	5724
脑袋瓜	6009
妥当	3443
一百分	2901
怂	2557
卖完	1645
放在	1451
芭比	6155
拍戏	4787
冷	207
打球	4507
改一改	4300
民族	5096
研究生	2898
子	4021
加油	363
跟	528
想死	400
哥	4219
查看	5292
披萨	1678
近视眼镜	4325
压抑	1598
哭声	1858
怕事	2567
染过	4342
洗脏	6714
谈恋爱	2418
心	1459
热气	1190
开启	5839
掉下来	2055
额头	1149
股市	5582
大话西游	6579
学会	2968
伤心	1362
没戏	2214
Howareyou	5318
梦见	2435
脏话	6429
一动不动	6289
看法	3462
头大	6719
色彩	5086
洗脸	2682
尝试	3696
瓶	6780
借打	1585
里	132
共享单车	6656
被窝	1397
QQ	4106
特别喜爱	5047
寂寞	1715
脚伤	934
业余时间	5063
机器人	3814
蛮	6427
哪里	40
拍拖	4543
过生日	3480
一上	1045
一下	22
乌黑黑	3507
身体	684
周末	63
迅速	397
充实	4912
暗	2038
随时	3330
血泡	917
牛奶	6172
级	6437
不重	3594
姐妹花	6471
排队	1962
谅解	158
攒	6547
早先	5948
其他	2424
创始人	4101
吉普车	5002
dj	5702
买瓶水	1910
样子	1791
以后	594
dx	4885
各字	4301
狗狗	1460
句	216
人诉	1855
真相	1379
再有	4825
啥子	4293
人话	2721
帮帮我	1703
放假	519
秘笈	5672
抄	6556
网游	6765
不划算	1316
抱歉	95
一些	144
状态	4448
洋娃娃	4158
汉堡包	4150
音	3286
盛荣	4126
坚强	711
叙述	1798
身份证号码	2690
世上	5563
点钟	3905
滔滔不绝	3201
想法	2698
取经	5806
你佬爷	4275
舒坦	897
没整	294
血气	3363
穿衣	6626
自信	3041
真白	4340
能	117
我就是	1398
多少钱	4481
心烦意乱	1559
极点	2534
会动	6735
漂亮	167
热死	1987
一份	2034
特质	3674
袜能	3578
断	1280
床上	3165
一会	429
五官	3632
本	1502
连天	3197
出租车	4992
麽	3523
太疼	1078
研究	2974
身上	2294
全名	3260
启蒙	6881
有的	2639
啥事	3429
经过	1277
招人	2783
走	56
写出	5981
打牌	5417
不懂装懂	189
酸	932
讲真	6414
从来	341
预感	6209
我給	4085
问	180
撤走	571
至亲	3476
会面	5423
枫叶	4973
及	6819
身份	3955
在线	2032
做我女朋友	5228
柏油路	6740
教会	4921
